,username,name,tweet
90,matthiefield,Matt Hiefield,How Has the Pandemic Changed the Way Educators Think About Homework? This has significant implications for equity and engagement!  https://t.co/paUKvCWBj6 #edchat #education #edtech #teachertwitter
91,mitmedical,MIT Medical,"During #NursesMonth, we honor MIT Medical’s nursing staff. They deliver high-quality care throughout the year and play a vital leadership role in campus-wide public health initiatives — from patient education and flu clinics to responding to the the #COVID19 pandemic. 🙏🏽  https://t.co/qSZnMmY7Sa"
92,bera_cap,"BERA Curriculum, Assessment and Pedagogy SIG",Early years education in the COVID-19 pandemic: what research found? Check this out!  https://t.co/ahvyClcCGR
93,ednewsflash,Education News Flash,"#transfer student enrollment rates decreased by 6.9 percent over last year. Combined with the previous year, total transfer enrollment has declined by about 16 percent since the start of the COVID-19 pandemic. #highered #college #enrollment  https://t.co/IwSIytX4O6  https://t.co/aJhAN6MCfV"
94,neotologist,vee 🌹🎀,and anxious as I am also a college student taking up a pre-medical course. having a fucked up health care system plus the huge impact of the pandemic to our education is already so disheartening. everything could go worse and it's unimaginable. it's making me weak.
95,dr_weipeng_yang,Dr Weipeng Yang,Early Childhood Education during the COVID-19 Pandemic We found critical themes from 507 empirical studies in this field:  1 Online Learning and Teaching 2 Physical Activity 3 Stress and Mental Health 4 The Role of Families in Home-schooling See details in  https://t.co/kWGVdDYnWK
96,radar_articles,RADAR AI Notifications,"📣 STORY: School Absences 🏴󠁧󠁢󠁥󠁮󠁧󠁿 Across England, 11.4% of pupils were absent from school before the Easter holidays. The @ASCL_UK warned disadvantaged children are the most vulnerable after the coronavirus pandemic disrupted their education. Stories:  https://t.co/nugEIrSobu  https://t.co/x0EIt4NqMg"
97,croman32,Christopher Rossey,"via APA ~ Psychologists are helping organizations respond to the #pandemic's heightened risk of burnout for workers in all sectors, especially those in health care and education."
98,intschoolmag,International School Magazine,"NEWS: Sixty-eight per cent of leaders in international schools say the pandemic has had a negative impact on recruitment, research says &gt;&gt;  https://t.co/Xko8yzsq9Z #recruitment #teaching #intled #education  https://t.co/wIwL4gD4XW"
99,compassedugroup,Compass Education Group,"University of Tennessee announced that it is dropping its test optional policy 3 years early. In May 2021, the school said that its pandemic-initiated TO pilot would run through fall 2025. The university now says that it will return to requiring SAT/ACT scores for fall 2023.  https://t.co/0r4jsv5Bh9"
100,oroviaeducation,OroviaEducation,Today is the start of @MentalHealthAwarenessWeek. 🧠  This year’s theme is loneliness. The lasting effects of the pandemic have left more and more people feeling isolated &amp; alone.  Remember to check in on loved ones and colleagues and continue to raise awareness. @mentalhealth  https://t.co/3n6weI6fVC
101,holisticpolchat,Holistic Political Chat,@fordnation spending $800 per child less on Education in Ontario. Rehashing Kathleen Wynne's plans. Like Go trains to Bowmanville which he cancelled in 2018. Hydro &amp; Deficits highest they've ever remember 97c of every $$ spent on pandemic came from Ottawa not this Govt. #Not1seat  https://t.co/AYlO9QNhLs
102,ism_plus,Independent School Management Plus,"NEWS: Sixty-eight per cent of leaders in international schools say the pandemic has had a negative impact on recruitment, research says &gt;&gt;  https://t.co/WlkcRhu1WT #recruitment #teaching #intled #education  https://t.co/fBgZSnQ0hD"
103,coopmike48,Coopmike48,Education Research Report: The Consequences of Remote and Hybrid Instruction During the Pandemic  https://t.co/j3feIwzUOh
104,coopmike48,Coopmike48,Education Research Report: The Consequences of Remote and Hybrid Instruction During the Pandemic  https://t.co/j3feIwzUOh  https://t.co/212AZbjtfv
105,thalwrites,🌺,@heysevens our educational system is already struggling during the pandemic but theyre even more reasons for the young to think that education isnt important.
106,jrgverwest,Jrg Gdz ,"Learn how Cisco's #HybridWork tech stack helped GH Raisoni Engineering College by delivering an all-rounded solution to help the College deliver education opportunities to its students, virtually, during the pandemic.  #HybridWork #FutureOfWork  https://t.co/jdA94szfd0"
107,fenews,FE News - The #FutureofEducation News Channel,"Pandemic fuels renewed focus on organisational risk for FE sector: Organisational risks break into the top three risks for further education institutions for the first time as the pandemic puts the focus on business continuity,…   Pandemic fuels renewed…  https://t.co/S26bVN9Xn7  https://t.co/8oNLrDcF70"
108,hsf_philippines,Hanns Seidel Foundation - Philippines,"7 Steps to vote safely amid the COVID-19 pandemic This public service announcement is brought to you by @PPI_philpress  &amp; @HSF_Philippines  in coop. w/ COMELEC, NAC and @InstituteInfo   Explainer Video on Voter Education Ep. 6  https://t.co/Zkkvf2XzSl   #Philippines #Election2022"
109,pibbhubaneswar,PIB in Odisha,"In view of the difficulties faced due to #COVID19 pandemic, @ugc_india has allowed Higher Education Institutions to provide an extension up to six months beyond 30th June, 2022 to students for M.Phil./PhD. thesis submission on case-to-case basis.   @mamidala90  https://t.co/cTF1Zp4Gne"
110,kansasalps,Andy (River) Peterson,"Important thread on how the economic fallout of the pandemic is rippling through Nigeria’s economy, including its education system—and how that means more people there turning to cyberfraud out of desperation and rage"
111,digitalhealthco,DigitalHealthCo,Insights into the attitudes and comfort levels of HCPs with live meetings and education in the pandemic age. This article from Healio Strategic Solutions explores to what extent the lack of travel has impacted learning about new medical information.  https://t.co/6CRGfOFddG  https://t.co/FdfKto9Jk4
112,xianboyd,Padre 🥃,"@MHarrisPerry  the Takeaway today on PTSD was outstanding. An aspect that usually is joined with PTSD: Moral Injury. It requires a separate therapy for healing. We are finding it not only in military, but also medical, education, and among clergy as we have gone through pandemic."
113,realanitawhite,Anita White,"@maskupmelb @FiMelb99 @VictorianCHO @marianlturner @JamesMerlinoMP Private schools are regulated by state government Education Department and subject to state pandemic regulations.  It's hard as a parent to get action.   If state schools have air purifiers, then so should private be required to have them. By law."
114,cate2pilates,🌻Opie’s Nan 🌻🇺🇦💉 😷🥲 We have work to do 🍁,@fordnation has totally fucked up our healthcare and education by doing NOTHING INCL DURING A PANDEMIC!!!! $4.4Billion has gone missing. Where are you FREEDUMB fighters???? This is corruption
115,vippusao,TomthunkitsMind,EDUCATION COSTS SOAR WHILE SCHOOLS TRY TO MAKE UP FOR THE PANDEMIC LOSSES 01  https://t.co/b0omG8KNUp
116,apa,American Psychological Association,"Psychologists are helping organizations respond to the pandemic's heightened risk of burnout for workers in all sectors, especially those in health care and education. #MentalHealthAwarenessMonth  https://t.co/uY2JDxJk0t"
117,lizasoho,Liza Smith,"@TB_Times Proof that blue states DID fail their people during pandemic: Harsh lockdowns caused huge death rates, ruined kids' education and destroyed business, bombshell research FINALLY shows - with NY, NJ, CA and IL all receiving an F-grade  https://t.co/cdQcfHRvXM"
118,teamboost,BOOST Collaborative,The Future of Learning - The struggle to emerge from the pandemic has created a watershed moment in education. Ridgway White explains why we need to find reinvention in recovery.  https://t.co/OIpGqbtWLW via @MottFoundation
119,asic_ltd,ASIC - Passionate about excellence in education,"Thank you to Bobby Qureshi of @collegenatmed for his session: ""Pandemic solutions developed into #education expansion opportunities.""  #ASICUK22  https://t.co/dRPw4djjOO"
120,aeieducation,AEI Education,"Live, in-person at AEI this Thursday: Arizona Gov. Doug Ducey talks about pandemic school policy and how Republican governors can lead on education in 2022 and beyond. Register ⬇️ https://t.co/uDooTFKjKX"
121,centrumcyfrowe,Centrum Cyfrowe,"In 2021, together with @communia_eu, we ran a study on remote #education in times of pandemic that shows that content used by teachers was predominantly of non-commercial nature, suggesting the need for a stronger adoption of #OER.  Full report: 👉 https://t.co/EdffMdqtUp  #SCCR42"
122,pebetse4pebetse,Pebetse Pebetse,@Julius_S_Malema Next NPA we must have a deep discussion without emotions about death penalty.  We need to eradicate this pandemic of GBV permanently. These killers will get free meals and free education in prison  . It's time to look at statistics @Julius_S_Malema
123,forourfuturepa,For Our Future PA,"The pandemic rattled our public education system, and it’s up to our elected leaders to clean up the mess.  Who you vote for matters. Commit to vote today:  https://t.co/sL5id8buso   https://t.co/1LPoFvE0cc"
124,chalkbeat,Chalkbeat,"As pandemic wanes, Denver looks to make up missed special education services  https://t.co/QCVbQl5KeB  https://t.co/OfABvwZONe"
125,niosh,NIOSH,"New NIOSH research looks at racial disparities in teleworking during the #COVID19 pandemic and the extent to which these disparities are explained by education, occupation and racial discrimination. Learn more on the #ScienceBlog:  https://t.co/02CbsUwwV3  https://t.co/oryFv5y9Qi"
126,asic_ltd,ASIC - Passionate about excellence in education,Teresa Jacobs (from ISDC and eAA) joined us to share educational success stories from the pandemic and how it has shaped changes to educational policy throughout the world. #education #India   #ASICUK22 #globaled  https://t.co/cLk280LEc4
127,waynecamo,Wayne Campbell,"The Intersection of Gender, Culture and Education: Jamaica: The Next 50 Years!: Monkeypox Virus, Pandemic And the Pursuit of Good ...  https://t.co/FceQnNvGIR #monkeypox"
128,proreso,the Profounder,"@_AfricanSoil Getting ready to be sent to a guest house Called a South African Prison, given Education, Food, access to Salons and shit. Criminals will never seize to multiply cause they are VVIPs in this country... no remorse, nothing to be afraid of... Justice system is a Pandemic on its own  https://t.co/r2WPj8qcPz"
